Country,Happiness_Rank,Happiness_Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia_Residual
Finland,1,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.39299999999999996,0.20199999999999999,2.585000000000001
Norway,2,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.34,0.28600000000000003,2.382999999999999
Denmark,3,7.555,1.351,1.59,0.868,0.6829999999999999,0.408,0.284,2.3709999999999996
Iceland,4,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.138,0.353,2.426
Switzerland,5,7.487,1.42,1.5490000000000002,0.927,0.66,0.35700000000000004,0.256,2.3179999999999996
Netherlands,6,7.441,1.361,1.4880000000000002,0.878,0.638,0.295,0.33299999999999996,2.4479999999999995
Canada,7,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.29100000000000004,0.321,2.3049999999999997
New Zealand,8,7.324,1.268,1.601,0.8759999999999999,0.669,0.389,0.365,2.1559999999999997
Sweden,9,7.314,1.355,1.501,0.9129999999999999,0.659,0.38299999999999995,0.285,2.218
Australia,10,7.272,1.34,1.5730000000000002,0.91,0.647,0.302,0.361,2.1390000000000002
United Kingdom,11,7.19,1.244,1.433,0.888,0.46399999999999997,0.08199999999999999,0.262,2.817000000000001
Austria,12,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.22399999999999998,0.242,2.3199999999999994
Costa Rica,13,7.072,1.01,1.459,0.8170000000000001,0.632,0.10099999999999999,0.14300000000000002,2.9099999999999993
Ireland,14,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.306,0.307,1.842999999999999
Germany,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2.151
Belgium,16,6.9270000000000005,1.324,1.483,0.894,0.583,0.24,0.188,2.215
Luxembourg,17,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.321,0.196,1.769000000000001
United States,18,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.133,0.29100000000000004,2.2270000000000003
Israel,19,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.272,0.354,1.912
United Arab Emirates,20,6.774,2.096,0.7759999999999999,0.67,0.284,,0.18600000000000003,
Czech Republic,21,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.034,0.064,2.4940000000000007
Malta,22,6.627000000000001,1.27,1.525,0.884,0.645,0.142,0.376,1.7850000000000001
France,23,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.17600000000000002,0.098,2.0279999999999996
Mexico,24,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.095,0.069,2.793999999999999
Chile,25,6.476,1.131,1.331,0.8079999999999999,0.431,0.061,0.19699999999999998,2.5170000000000003
Taiwan,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151,2.1359999999999992
Panama,27,6.43,1.112,1.4380000000000002,0.759,0.597,0.063,0.125,2.3359999999999994
Brazil,28,6.419,0.986,1.474,0.675,0.493,0.08800000000000001,0.11,2.593
Argentina,29,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.054000000000000006,0.062,2.417
Guatemala,30,6.382000000000001,0.7809999999999999,1.268,0.608,0.604,0.071,0.179,2.8710000000000004
Uruguay,31,6.379,1.093,1.459,0.7709999999999999,0.625,0.155,0.13,2.146
Qatar,32,6.374,1.649,1.3030000000000002,0.748,0.654,0.171,0.256,1.592999999999999
Saudi Arabia,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2.2940000000000005
Singapore,34,6.343,1.5290000000000001,1.4509999999999998,1.008,0.631,0.457,0.261,1.0060000000000002
Malaysia,35,6.322,1.161,1.258,0.669,0.35600000000000004,0.059000000000000004,0.311,2.508
Spain,36,6.31,1.251,1.538,0.965,0.449,0.07400000000000001,0.142,1.891
Colombia,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2.5569999999999995
Trinidad & Tobago,38,6.192,1.2229999999999999,1.492,0.564,0.575,0.019,0.171,2.1479999999999997
Slovakia,39,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.013999999999999999,0.11800000000000001,2.1639999999999997
El Salvador,40,6.167000000000001,0.8059999999999999,1.2309999999999999,0.639,0.461,0.08199999999999999,0.065,2.883000000000001
Nicaragua,41,6.141,0.6679999999999999,1.319,0.7,0.527,0.128,0.20800000000000002,2.5909999999999997
Poland,42,6.122999999999999,1.176,1.4480000000000002,0.7809999999999999,0.546,0.064,0.10800000000000001,1.9999999999999991
Bahrain,43,6.105,1.338,1.3659999999999999,0.698,0.594,0.12300000000000001,0.243,1.7430000000000003
Uzbekistan,44,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.259,0.32799999999999996,1.8769999999999998
Kuwait,45,6.082999999999999,1.474,1.301,0.675,0.5539999999999999,0.106,0.16699999999999998,1.8059999999999992
Thailand,46,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.028999999999999998,0.364,1.9020000000000001
Italy,47,6.0,1.264,1.501,0.946,0.281,0.027999999999999997,0.13699999999999998,1.8430000000000009
Ecuador,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,2.2279999999999998
Belize,49,5.956,0.807,1.101,0.474,0.593,0.08900000000000001,0.183,2.709000000000001
Lithuania,50,5.952000000000001,1.197,1.527,0.716,0.35,0.006,0.026000000000000002,2.130000000000001
Slovenia,51,5.9479999999999995,1.219,1.506,0.856,0.633,0.051,0.16,1.5229999999999988
Romania,52,5.945,1.1159999999999999,1.219,0.726,0.528,0.001,0.08800000000000001,2.2670000000000003
Latvia,53,5.933,1.148,1.454,0.6709999999999999,0.363,0.066,0.092,2.1390000000000002
Japan,54,5.915,1.294,1.462,0.988,0.5529999999999999,0.15,0.079,1.3889999999999993
Mauritius,55,5.891,1.09,1.3869999999999998,0.684,0.584,0.05,0.245,1.851
Jamaica,56,5.89,0.8190000000000001,1.493,0.693,0.575,0.031,0.096,2.1829999999999994
South Korea,57,5.875,1.266,1.204,0.955,0.244,0.051,0.175,1.9800000000000004
Northern Cyprus,58,5.835,1.229,1.2109999999999999,0.909,0.495,0.154,0.179,1.6579999999999995
Russia,59,5.81,1.151,1.479,0.599,0.39899999999999997,0.025,0.065,2.0919999999999996
Kazakhstan,60,5.79,1.143,1.516,0.631,0.45399999999999996,0.121,0.14800000000000002,1.7770000000000001
Cyprus,61,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.035,0.20199999999999999,1.7730000000000006
Bolivia,62,5.752000000000001,0.7509999999999999,1.2229999999999999,0.508,0.606,0.054000000000000006,0.141,2.469000000000001
Estonia,63,5.739,1.2,1.5319999999999998,0.737,0.5529999999999999,0.174,0.086,1.456999999999999
Paraguay,64,5.681,0.835,1.5219999999999998,0.615,0.541,0.07400000000000001,0.162,1.9320000000000008
Peru,65,5.662999999999999,0.934,1.249,0.674,0.53,0.034,0.092,2.149999999999999
Kosovo,66,5.662000000000001,0.855,1.23,0.578,0.44799999999999995,0.023,0.27399999999999997,2.254000000000001
Moldova,67,5.64,0.657,1.301,0.62,0.23199999999999998,0.0,0.171,2.6590000000000003
Turkmenistan,68,5.636,1.016,1.5330000000000001,0.517,0.41700000000000004,0.037000000000000005,0.19899999999999998,1.9169999999999998
Hungary,69,5.62,1.171,1.401,0.732,0.259,0.022000000000000002,0.061,1.9740000000000002
Libya,70,5.566,0.985,1.35,0.5529999999999999,0.496,0.14800000000000002,0.11599999999999999,1.9179999999999997
Philippines,71,5.524,0.775,1.3119999999999998,0.513,0.643,0.105,0.12,2.0560000000000005
Honduras,72,5.504,0.62,1.205,0.622,0.45899999999999996,0.07400000000000001,0.19699999999999998,2.3269999999999995
Belarus,73,5.483,1.0390000000000001,1.4980000000000002,0.7,0.307,0.154,0.10099999999999999,1.6839999999999997
Turkey,74,5.483,1.148,1.38,0.6859999999999999,0.324,0.109,0.106,1.7300000000000004
Pakistan,75,5.472,0.652,0.81,0.424,0.33399999999999996,0.113,0.21600000000000003,2.923
Hong Kong,76,5.43,1.405,1.29,1.03,0.524,0.29100000000000004,0.24600000000000002,0.6439999999999984
Portugal,77,5.41,1.188,1.429,0.884,0.562,0.017,0.055,1.2750000000000004
Serbia,78,5.398,0.975,1.369,0.685,0.28800000000000003,0.043,0.134,1.9039999999999995
Greece,79,5.358,1.1540000000000001,1.202,0.879,0.131,0.044000000000000004,0.0,1.948
Lebanon,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214,1.5759999999999992
Montenegro,81,5.347,1.0170000000000001,1.2790000000000001,0.7290000000000001,0.259,0.081,0.111,1.871
Croatia,82,5.321000000000001,1.115,1.161,0.737,0.38,0.039,0.12,1.7690000000000006
Dominican Republic,83,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.106,0.12,1.4610000000000007
Algeria,84,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.135,0.055,2.2079999999999997
Morocco,85,5.254,0.779,0.797,0.669,0.46,0.07400000000000001,0.026000000000000002,2.449
China,86,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.10300000000000001,0.028999999999999998,1.5870000000000002
Azerbaijan,87,5.2010000000000005,1.024,1.161,0.603,0.43,0.17600000000000002,0.031,1.7759999999999998
Tajikistan,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187,2.4480000000000004
Macedonia,89,5.185,0.9590000000000001,1.239,0.691,0.39399999999999996,0.052000000000000005,0.17300000000000001,1.6769999999999992
Jordan,90,5.1610000000000005,0.8220000000000001,1.265,0.645,0.46799999999999997,0.134,0.13,1.697000000000001
Nigeria,91,5.155,0.6890000000000001,1.172,0.048,0.462,0.032,0.201,2.551
Kyrgyzstan,92,5.131,0.53,1.416,0.594,0.54,0.035,0.281,1.7349999999999999
Bosnia and Herzegovina,93,5.129,0.915,1.078,0.758,0.28,0.0,0.21600000000000003,1.8819999999999988
Mongolia,94,5.125,0.914,1.517,0.575,0.395,0.032,0.253,1.4389999999999996
Vietnam,95,5.103,0.715,1.365,0.7020000000000001,0.618,0.079,0.177,1.4469999999999996
Indonesia,96,5.093,0.899,1.215,0.522,0.5379999999999999,0.018000000000000002,0.484,1.4170000000000003
Bhutan,97,5.082,0.7959999999999999,1.335,0.527,0.541,0.171,0.364,1.3480000000000003
Somalia,98,4.982,0.0,0.7120000000000001,0.115,0.674,0.282,0.23800000000000002,2.961
Cameroon,99,4.975,0.535,0.8909999999999999,0.182,0.45399999999999996,0.043,0.183,2.687
Bulgaria,100,4.933,1.054,1.515,0.7120000000000001,0.359,0.009000000000000001,0.064,1.2199999999999998
Nepal,101,4.88,0.425,1.228,0.539,0.526,0.078,0.302,1.782
Venezuela,102,4.806,0.996,1.469,0.657,0.133,0.052000000000000005,0.055999999999999994,1.443
Gabon,103,4.758,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.052000000000000005,0.032,1.714
Palestinian Territories,104,4.743,0.642,1.217,0.602,0.266,0.076,0.086,1.8540000000000005
South Africa,105,4.724,0.94,1.41,0.33,0.516,0.055999999999999994,0.10300000000000001,1.3690000000000002
Iran,106,4.707,1.0590000000000002,0.7709999999999999,0.691,0.45899999999999996,0.129,0.282,1.3159999999999998
Ivory Coast,107,4.671,0.541,0.872,0.08,0.467,0.10300000000000001,0.146,2.462
Ghana,108,4.657,0.5920000000000001,0.8959999999999999,0.337,0.499,0.028999999999999998,0.212,2.092
Senegal,109,4.631,0.429,1.117,0.433,0.406,0.08199999999999999,0.138,2.0260000000000002
Laos,110,4.623,0.72,1.034,0.441,0.626,0.174,0.23,1.3980000000000006
Tunisia,111,4.592,0.9,0.9059999999999999,0.69,0.271,0.063,0.04,1.7219999999999995
Albania,112,4.586,0.9159999999999999,0.8170000000000001,0.79,0.419,0.032,0.149,1.463
Sierra Leone,113,4.571000000000001,0.256,0.813,0.0,0.355,0.053,0.23800000000000002,2.8560000000000008
Congo (Brazzaville),114,4.559,0.682,0.8109999999999999,0.34299999999999997,0.514,0.077,0.091,2.0410000000000004
Bangladesh,115,4.5,0.532,0.85,0.579,0.58,0.14400000000000002,0.153,1.662
Sri Lanka,116,4.471,0.9179999999999999,1.314,0.672,0.585,0.05,0.307,0.625
Iraq,117,4.456,1.01,0.971,0.536,0.304,0.095,0.14800000000000002,1.3920000000000003
Mali,118,4.447,0.37,1.2329999999999999,0.152,0.36700000000000005,0.055999999999999994,0.139,2.13
Namibia,119,4.441,0.8740000000000001,1.281,0.365,0.519,0.064,0.051,1.286999999999999
Cambodia,120,4.433,0.5489999999999999,1.088,0.457,0.696,0.065,0.256,1.322
Burkina Faso,121,4.4239999999999995,0.314,1.097,0.254,0.312,0.128,0.175,2.1439999999999997
Egypt,122,4.419,0.885,1.025,0.5529999999999999,0.312,0.107,0.092,1.4449999999999994
Mozambique,123,4.417,0.198,0.902,0.17300000000000001,0.531,0.158,0.20600000000000002,2.2489999999999997
Kenya,124,4.41,0.493,1.048,0.45399999999999996,0.504,0.055,0.35200000000000004,1.5040000000000004
Zambia,125,4.377,0.562,1.047,0.295,0.503,0.08199999999999999,0.221,1.6669999999999998
Mauritania,126,4.356,0.557,1.245,0.292,0.129,0.09300000000000001,0.134,1.9060000000000001
Ethiopia,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,1.8829999999999996
Georgia,128,4.34,0.853,0.5920000000000001,0.643,0.375,0.215,0.038,1.624
Armenia,129,4.321000000000001,0.816,0.99,0.6659999999999999,0.26,0.027999999999999997,0.077,1.4840000000000004
Myanmar,130,4.308,0.682,1.1740000000000002,0.429,0.58,0.17800000000000002,0.598,0.6669999999999998
Chad,131,4.301,0.358,0.907,0.053,0.18899999999999997,0.06,0.18100000000000002,2.553
Congo (Kinshasa),132,4.245,0.069,1.136,0.204,0.312,0.052000000000000005,0.19699999999999998,2.2750000000000004
India,133,4.19,0.721,0.747,0.485,0.539,0.09300000000000001,0.172,1.4330000000000003
Niger,134,4.166,0.131,0.867,0.221,0.39,0.099,0.175,2.2830000000000004
Uganda,135,4.1610000000000005,0.322,1.09,0.237,0.45,0.061,0.259,1.7420000000000004
Benin,136,4.141,0.37799999999999995,0.37200000000000005,0.24,0.44,0.067,0.163,2.481
Sudan,137,4.138999999999999,0.605,1.24,0.312,0.016,0.08199999999999999,0.134,1.7499999999999996
Ukraine,138,4.103,0.7929999999999999,1.413,0.609,0.163,0.011000000000000001,0.187,0.927
Togo,139,3.9989999999999997,0.259,0.474,0.253,0.434,0.10099999999999999,0.158,2.32
Guinea,140,3.964,0.344,0.792,0.21100000000000002,0.39399999999999996,0.094,0.185,1.944
Lesotho,141,3.8080000000000003,0.47200000000000003,1.215,0.079,0.423,0.11199999999999999,0.11599999999999999,1.391
Angola,142,3.795,0.73,1.125,0.26899999999999996,0.0,0.061,0.079,1.5309999999999997
Madagascar,143,3.7739999999999996,0.262,0.9079999999999999,0.402,0.221,0.049,0.155,1.7769999999999995
Zimbabwe,144,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.099,0.132,1.3559999999999994
Afghanistan,145,3.6319999999999997,0.332,0.537,0.255,0.085,0.036000000000000004,0.191,2.1959999999999997
Botswana,146,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.092,0.042,0.2909999999999995
Malawi,147,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.08,0.21,1.7329999999999997
Haiti,148,3.582,0.315,0.7140000000000001,0.289,0.025,0.10400000000000001,0.392,1.7429999999999999
Liberia,149,3.495,0.076,0.858,0.267,0.419,0.03,0.20600000000000002,1.639
Syria,150,3.4619999999999997,0.6890000000000001,0.382,0.539,0.08800000000000001,0.14400000000000002,0.376,1.2439999999999993
Rwanda,151,3.408,0.332,0.8959999999999999,0.4,0.636,0.444,0.2,0.49999999999999956
Yemen,152,3.355,0.442,1.073,0.34299999999999997,0.244,0.064,0.083,1.1059999999999999
Tanzania,153,3.303,0.455,0.991,0.381,0.48100000000000004,0.09699999999999999,0.27,0.6280000000000001
South Sudan,154,3.2539999999999996,0.337,0.608,0.177,0.11199999999999999,0.106,0.22399999999999998,1.6899999999999995
Central African Republic,155,3.083,0.024,0.0,0.01,0.305,0.038,0.218,2.4880000000000004
Burundi,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,1.7519999999999998
